Text,Answers0,Answers1,Answers2,Answers3,Explanation,Difficulty
Что такое сборка мусора (GC)?,"Это автоматический процесс управления памятью, который отслеживает и удаляет объекты, которые больше не используются.",Это автоматический процесс удаления мусора из системного диска для освобождения места.,"Это процесс очистки памяти ОЗУ от данных, не используемых в данный момент программой.",Это процесс удаления неиспользуемых переменных из программы.,"Сборка мусора (Garbage Collection, GC) - это автоматический процесс управления памятью в программах, который отслеживает и удаляет объекты, которые больше не используются и стали недоступны для программы.

В языках программирования с автоматическим управлением памятью, таких как C# или Java, программисту не требуется явно освобождать память, выделенную для объектов. Вместо этого сборщик мусора отслеживает, какие объекты не имеют ссылок на них из программы, и периодически освобождает память, занятую этими объектами.

Сборка мусора позволяет избежать утечек памяти и упрощает процесс управления памятью.",27
Что такое API?,"API - это набор правил и инструкций, определяющих, как различные компоненты могут взаимодействовать друг с другом.","API - это методика шифрования данных, используемая для обеспечения безопасности в сети Интернет.",API - это метод разработки автоматических систем для создания сложных систем веб-сайтов.,API - это устройство для подключения к компьютеру и ввода команд с помощью голоса.,"API (Application Programming Interface) - это набор правил и протоколов, которые определяют, как различные компоненты программного обеспечения взаимодействуют друг с другом. Он предоставляет набор функций, процедур, классов и структур, которые программисты могут использовать для создания приложений или интеграции различных систем.
Примером API может быть OpenWeatherMap API, где мы можем использовать API-ключ и отправить запрос для получения данных о погоде. Результатом будет ответ в формате JSON или XML с информацией о погоде для заданного города или местоположения.",28
Что такое Boxing/Unboxing в C#?,Boxing и Unboxing - это процессы преобразования значимых типов данных в ссылочные типы и обратно. ,"Boxing и Unboxing - это специальные методы, используемые для сериализации и десериализации объектов в C#.","Boxing и Unboxing - это механизмы, которые позволяют создавать анонимные типы и работать с ними в C#.",Boxing и Unboxing - это способы управления памятью и освобождения ресурсов в C#.,"Boxing - это процесс преобразования значимого типа данных в экземпляр объекта соответствующего ссылочного типа. При упаковке (boxing) значение переменной копируется в новый объект-контейнер на куче, а переменная становится ссылкой на этот объект. 
int number = 42;
object boxedNumber = number;
Unboxing - это процесс извлечения значения из упакованного объекта и преобразования его обратно в исходный значимый тип данных. При распаковке (unboxing) значение извлекается из объекта-контейнера и преобразуется в исходный тип данных.
object boxedNumber = 42;
int number = (int)boxedNumber;
",29
"
Что такое дженерики?","Дженерики - это механизм, позволяющий создавать обобщенные типы, методы и классы.","Дженерики - это способ использования методов, которые автоматически определяют типы данных во время выполнения программы.",Дженерики - это механизм для работы с текстовыми данными.,"Дженерики - это набор заранее определенных обобщенных классов и методов, которые можно использовать в языке C#.","Дженерики (Generics) в C# представляют механизм, который позволяет создавать обобщенные типы, классы и методы, которые могут работать с различными типами данных. Это позволяет повторно использовать код и обеспечивает безопасность типов на этапе компиляции.
public static void Swap<T>(ref T a, ref T b)
{
    T temp = a;
    a = b;
    b = temp;
}
В данном примере метод Swap является обобщенным, так как определен с параметром типа T. ",29
Где доступны члены с модификатором private?,"Только внутри того же класса, в котором они объявлены.",Внутри того же проекта (сборки).,Внутри того же класса и его производных классов (наследников).,"Из любого места программы, включая другие классы и пространства имен.","Члены с модификатором private доступны только внутри того же класса, в котором они объявлены. Это означает, что члены с модификатором private недоступны из других классов, даже если эти классы находятся в той же сборке.",30
Зачем нужны отдельные Update и FixedUpdate?,"Update используют, где важна зависимость от времени, FixedUpdate - где важна независимость от FPS.","Update предназначен для физических расчетов, а FixedUpdate - для анимации и пользовательского ввода.",Update работает в отдельном потоке от FixedUpdate.,"Update и FixedUpdate делают одно и то же, но обрабатываются в произвольной последовательности.","Отделение логики обновления на Update и FixedUpdate помогает более точно контролировать обновление объектов. Это особенно важно для физических расчетов и других операций, которые должны происходить с постоянной частотой.
Update: вызывается на каждом кадре рендеринга и используется для обновления логики, которая зависит от времени (пользовательский ввод, движение объектов, анимации).

FixedUpdate: вызывается с фиксированной частотой(0.02 сек). Он предназначен для обработки физических расчетов и других операций, которые должны выполняться с постоянной частотой независимо от FPS игры.",31
"Чтобы вызвалось событие OnTriggerEnter при столкновении двух объектов, какие два компонента обязательно должны быть на этих объектах?",Rigidbody и Collider,Collider и MeshRenderer,Collider и MeshFilter,MeshRenderer и MeshFilter,"Компонент Rigidbody используется для добавления физических свойств объекту, позволяя ему взаимодействовать с физическим миром, подвергаться силам, гравитации и имитировать реалистичные движения.

Компонент Collider определяет границы и форму объекта, позволяя ему взаимодействовать с другими объектами через столкновения и коллизии. Collider также используется для обработки физического взаимодействия с окружающими объектами и другими физическими телами в сцене.",31
Что такое Coroutines в Unity? ,"Механизм, который позволяет создавать асинхронные операции и управлять временем выполнения задач в игре.","Механизм, позволяющий выполнять длительные операции без влияния на производительность игры.","Механизм, применяемый для асинхронной обработки пользовательского ввода.","Механизм, который используется для синхронного выполнения кода без задержек.","Coroutines в Unity - это механизм, который позволяет создавать асинхронные операции и управлять временем выполнения задач в игре. Они позволяют выполнять отложенные действия или анимации без блокировки основного потока выполнения, что облегчает выполнение сложных задач, таких как анимации, переходы между сценами и другие длительные операции.

Работа с Coroutines происходит с помощью ключевого слова yield, которое позволяет приостанавливать выполнение функции и возобновлять его позднее.",32
"В каком порядке вызываются методы жизненного цикла MonoBehaviour, начиная с инициализации объекта до его уничтожения?","Awake, Start, FixedUpdate, Update, LateUpdate, OnDestroy","Awake, Start, Update, FixedUpdate, LateUpdate, OnDestroy","Start, Awake, Update, LateUpdate, FixedUpdate, OnDestroy"," Start, Awake, FixedUpdate, LateUpdate, Update, OnDestroy","Awake() -  для инициализации переменных и компонентов объекта.
Start() - для запуска процессов, которые зависят от других объектов.
FixedUpdate() -  для работы с физикой и перемещения объектов.
Update() -   для обновления логики объекта и обработки пользовательского ввода.
LateUpdate() -  для выполнения логики, которая зависит от обновления других объектов.
OnDestroy() - вызывается перед уничтожением объекта. Используется для освобождения ресурсов и очистки памяти.",33
Что такое Cinemachine в Unity?,Это пакет инструментов для создания сложных камерных движений и управления камерами в игре. ,Это специальный редактор для создания анимированных камерных эффектов.,Это библиотека для создания трехмерных моделей и анимаций в Unity.,Это компонент для отображения анимированных эффектов на сцене.,"Cinemachine - это пакет для Unity, который предоставляет удобные инструменты для создания сложных камерных систем. Он позволяет легко настраивать и контролировать камеры в игре, добавлять эффекты переходов между камерами, управлять камерой в режиме реального времени и создавать динамические камерные треки. Cinemachine упрощает процесс создания кинематографических камерных эффектов и обеспечивает более гибкий и эффективный подход к управлению камерами в игровом проекте.",33
Какой атрибут C# отображает private переменную в инспекторе объектов?, SerializedField,Serializable, HideInInspector, Range,"Атрибут SerializedField используется в Unity для отображения и редактирования приватных или защищенных переменных в инспекторе редактора, делая их доступными для редактирования без необходимости делать их публичными. Таким образом, можно сохранить инкапсуляцию и одновременно предоставить возможность редактирования значений в инспекторе без доступа к ним извне класса.",34
Сколько по времени по умолчанию занимает FixedUpdate?,0.02 секунды,"Время зависит от сложности логики, которую вы выполняете в этом методе.",1 миллисекунду,один кадр времени (1/60 секунды на 60 FPS).,"FixedUpdate вызывается с фиксированной частотой, которая по умолчанию равна 50 раз в секунду (каждые 0.02 секунды). Однако это значение может быть изменено в настройках проекта.",35
Что такое Raycast в Unity3D и для чего он используется?,Это метод для проверки столкновения луча с объектами на сцене.,Это компонент для обработки пользовательского ввода.,Это метод для установки камеры на сцене.,Это компонент для создания луча света на сцене.,"Raycast - это метод, используемый для определения столкновений луча (ray) с объектами в сцене. Луч представляет собой виртуальный луч света, который исходит из начальной точки и направлен в определенном направлении. Raycast проверяет, пересекается ли этот луч с какими-либо коллайдерами в сцене и возвращает информацию о первом объекте, с которым происходит столкновение.",35
Что делает атрибут Range?,Ограничивает значение переменной с помощью ползунка.,Он проверяет значения переменных через виджет текстового поля.,Он ограничивает значения переменных с помощью виджета выбора цвета.,Он представляет допустимые варианты переменной в раскрывающемся списке.,"Атрибут [Range(min, max)] в Unity используется для ограничения диапазона значений числовых полей (например, float или int) в инспекторе. Он позволяет задать минимальное и максимальное значение, которое может принимать данное числовое поле.

Применение атрибута [Range] к числовому полю позволяет разработчику установить ограничение значений в инспекторе редактора Unity, чтобы предотвратить ввод недопустимых или неправильных значений для данного поля.",36
Кому доступны переменные с модификатором protected на уровне класса?,Доступны самому классу и его производным классам (наследникам) ,"Доступны только внутри класса, где они объявлены.","Доступны только в классах, находящихся в том же пространстве имен, что и класс, где они объявлены.","Доступны только в классах, находящихся в том же файле исходного кода, что и класс, где они объявлены.","Переменные с модификатором protected на уровне класса доступны самому классу, производным классам (наследникам) и любым другим классам в той же самой сборке (assembly).",37
Что делает аттрибут [Space(20)]?,Он делает отступ 20 пикселей над переменной внутри инспектора объектов.,Он вставляет 20 знаков пробела в качестве значения по умолчанию.,Он вставляет 20 пикселей слева и справа от переменной в инспекторе.,Он ограничивает количество знаков пробела в 20 символов.,"Атрибут [Space(X)] используется в Unity для добавления вертикального пространства (отступа) между сериализованными полями в инспекторе. В скобках указывается значение, которое определяет количество пикселей отступа.

Например, если у нас есть несколько сериализованных полей в MonoBehaviour-скрипте, и мы хотим добавить большой вертикальный отступ между ними в инспекторе, мы можем применить атрибут [Space(20)] перед полем, которое должно быть разделено от других.",37
"Может ли класс реализовать два интерфейса, у которых объявлены одинаковые методы?","Класс может реализовать два интерфейса с одинаковыми методами, но нужно указать принадлежность каждого метода.","Класс может реализовать два интерфейса с одинаковыми методами, но их реализация должна быть одинаковой.",При вызове метода будет использоваться реализация только первого интерфейса.,"Класс не может реализовать два интерфейса с одинаковыми методами, так как это вызывает конфликт в имени метода.","Когда класс реализует два интерфейса с одинаковыми методами, он должен явно указать, какой метод относится к какому интерфейсу, чтобы избежать неоднозначности. Это делается путем использования полной квалификации имени метода, указывающей на соответствующий интерфейс:
((IInterface1)myObj).MyMethod();   // Вызов MyMethod из IInterface1
((IInterface2)myObj).MyMethod();  // Вызов MyMethod из IInterface2",38
Что такое draw call в Unity?,"Это команда для отображения объектов на экране, которая содержит информацию о параметрах объекта. ","Это часть процесса рендеринга, которая отвечает за расчет освещения.",Это процесс обработки физического взаимодействия между объектами в Unity.,"Это способ определения, какие объекты должны быть отображены на экране.","Draw call (отрисовка) в Unity - это процесс отправки графических команд на отрисовку объектов на экране. Каждый раз, когда Unity отрисовывает объекты на сцене, он генерирует draw call для каждого объекта или набора объектов с одинаковыми материалами и настройками отображения.

Draw call содержит информацию о том, какой объект отрисовать, какой материал использовать, его позицию, поворот и масштаб, а также другие настройки, такие как режимы смешивания, отключение или включение затенения, маскировка и т. д.",39
"Что делает этот код:
Float Answer = Random.value * 10f;",Выбирает случайное значение между 0 и 10,Выбирает случайное значение больше 10,Выбирает случайное значение меньше 10,Выбирает случайное значение кратное 10,"Random.value возвращает случайное значение с плавающей точкой в диапазоне от 0.0 (включительно) до 1.0 (исключительно). Таким образом, это функция, которая генерирует случайное число с плавающей точкой от 0 до 1.",39
Что такое инкапсуляция (1 принцип ООП)?,Сокрытие деталей реализации объектов и предоставление интерфейса для работы с ними.,"Процесс превращения объекта в капсулу, которая может быть использована для хранения других объектов.",Способность объекта взаимодействовать только с объектами своего класса.,"Принцип, который запрещает использование публичных методов и полей в классе.","Инкапсуляция (Encapsulation) - это первый принцип ООП, который заключается в объединении данных и методов, работающих с этими данными, в единый объект (класс), и предоставлении доступа к ним только через интерфейс (публичные методы) этого объекта. Суть инкапсуляции состоит в том, что внутреннее состояние объекта остается скрытым от внешнего кода, и изменения данных объекта производятся только через установленные методы.
Главная цель инкапсуляции - обеспечить контроль над доступом к данным и методам объекта, предоставляя защищенный интерфейс для работы с объектом. ",40
Какое утверждение не соответствует действительности?,Только у гуманоидных персонажей есть кости.,"Функция обновления никогда не вызывается автоматически, пока объект не активен.",Корутины будут продолжать работать на неактивных объектах.,Все скрипты компонентов наследуются от MonoBehaviour.,"Кости (bones) обычно используются в анимации персонажей или объектов для управления их движением. В компьютерной графике и 3D-моделировании кости представляют собой невидимые точки или сущности, которые используются для создания иерархической структуры, описывающей и управляющей движением модели.",41
"Что такое графическая библиотека (OpenGL, DirectX)?","Графическая библиотека это набор инструментов и функций, для управления графикой и визуальными эффектами.","Графическая библиотека это набор физических компонентов, которые подключаются для улучшения графического вывода.",Графическая библиотека это программное обеспечение для создания и редактирования фотографий и изображений.,"Графическая библиотека это система, которая управляет размещением и отображением графических элементов на веб-сайтах.","Графическая библиотека, такая как OpenGL или DirectX, представляет собой набор программных интерфейсов и функций, которые разработчики могут использовать для создания и управления графикой в приложениях. Они обеспечивают доступ к низкоуровневым операциям рендеринга и взаимодействию с видеокартой. 
Пример: команда на C++  ""pDeviceContext->ClearRenderTargetView(pRenderTargetView, DirectX::Colors::SteelBlue);""  указывает устройству DirectX очистить буфер заднего фона и заполнить его указанным цветом перед началом отрисовки нового кадра. ",41
"В чем состоит ""Принцип единственной ответственности"" (1 принцип SOLID)?",Класс должен быть ответственным только за одну функциональность или задачу.,"Принцип требует, чтобы каждый метод в классе выполнял только одну задачу.","Класс должен выполнять одну операцию за раз, а все остальные операции должны быть отложены.",Каждый класс должен быть максимально полезным и включать как можно больше функциональности.,"Принцип единственной ответственности означает, что каждый класс должен иметь только одну причину для изменения. Иными словами, класс должен быть ответственным только за одну четко определенную функциональность или задачу.

Суть этого принципа заключается в том, чтобы разделить разные функциональности на различные классы. Это уменьшает сложность классов, делает их более понятными и улучшает поддерживаемость программного кода. Когда класс выполняет несколько независимых задач, изменения в одной задаче могут повлиять на другие, что усложняет понимание и поддержку кода.",42
Что такое Unity Package Manager (UPM)?,"Это инструмент для  установки и управления пакетами, а также их зависимостей в проекте Unity.","Это специальный компонент для создания упакованных файлов сцен, моделей и ассетов в Unity.",Это инструмент для резервного копирования и восстановления проектов Unity.,Это инструмент для обмена ресурсами и кодом между разными проектами Unity.,"Unity Package Manager (UPM) - это инструмент в Unity, который обеспечивает управление и установку пакетов, а также их зависимостей в проекте Unity. Он позволяет разработчикам легко добавлять сторонние пакеты в свои проекты, а также управлять версиями и обновлениями этих пакетов.

UPM предоставляет удобный интерфейс для поиска, установки и удаления пакетов из Unity Asset Store, репозиториев Git или локальных путей. Он также автоматически разрешает зависимости между пакетами, что позволяет легко подключать сторонние библиотеки и инструменты к проекту.",43
Что такое Procedural Generation в Unity?,"Техника для генерации контента в игре, такого как уровни, миры или текстуры.",Метод для генерации случайных чисел в игровом процессе.,Алгоритм для оптимизации работы с анимациями персонажей.,Механизм для создания случайных столкновений между объектами в сцене.,"Procedural Generation (процедурная генерация) в Unity - это метод создания контента, такого как уровни, миры, текстуры, модели, анимации и другие элементы, с использованием алгоритмов и случайных чисел, вместо традиционного ручного создания каждого элемента.

Процедурная генерация позволяет разработчикам автоматизировать и упростить процесс создания большого объема контента, что особенно полезно для создания крупных открытых миров или повторяющихся элементов в игре. ",43
"Элементы пользовательского интерфейса, такие как изображения и кнопки, могут быть зафиксированы в определенных позициях экрана для создания адаптивных интерфейсов. Какие функции Unity помогают достичь этого?","Якоря и оси(Anchors, pivots)","События и рейкасты(Events, raycasts)","Кватернионы и углы Эйлера(Quaternions, Euler angles)","Непрозрачность и прозрачность(Opacity, transparency)","Якоря (Anchors) и оси (Pivots) в Unity используются для управления расположением и масштабированием UI-элементов и спрайтов.

Якоря (Anchors): Якоря определяют, как элементы будут растягиваться и масштабироваться при изменении размеров родительского элемента или экрана. Установка якорей позволяет автоматически подстраивать элементы под разные разрешения экрана или размеры родительского контейнера.

Оси (Pivots): Оси определяют точку вокруг которой происходит вращение и масштабирование объекта. Установка осей позволяет управлять точкой вращения и масштабирования, что полезно для анимации и позиционирования объектов.",44
Где доступны члены с модификатором  protected?,Внутри того же класса и его производных классов (наследников).,Внутри того же проекта (сборки).,"Из любого места программы, включая другие классы и пространства имен.","Только внутри того же класса, в котором они объявлены.","Члены с модификатором protected доступны внутри того же класса и его производных классов (наследников), но не доступны из других классов вне иерархии наследования.",45
Какая разница между перегрузкой и переопределением методов?,"Перегрузка методов - это изменение сигнатуры метода, а переопределение методов - изменение его реализации.","Перегрузка методов - это изменение реализации метода, а переопределение методов - изменение его сигнатуры.","Перегрузка используется в статическом полиморфизме, а переопределение методов - только в динамическом.","Перегрузка методов используется для изменения видимости метода, а переопределение - для изменения доступности."," Перегрузка методов относится к созданию нескольких методов с одним и тем же именем, но с разными параметрами. Переопределение методов происходит, когда производный класс изменяет реализацию метода, унаследованного от базового класса.",45
Что такое абстракция (4 принцип ООП)?,"Представление объектов программы в упрощенной форме, отделяя важные характеристики от ненужных деталей.",Это возможность использовать абстрактные классы для создания объектов.,Это возможность использовать абстрактные поля и методы в классе.,"Это принцип ООП, который требует, чтобы все классы в программе были абстрактными.","Абстракция (Abstraction) - принцип ООП, который заключается в представлении объектов программы в упрощенной форме, скрывая детали реализации и выделяя только существенные характеристики и функциональность.

Основная цель абстракции состоит в том, чтобы предоставить понятный и удобный интерфейс для взаимодействия с объектами, скрывая сложные детали и делая код более понятным и удобочитаемым. Абстракция позволяет абстрагироваться от внутренних деталей реализации и сосредоточиться на важных аспектах объекта.",46
Какой метод в MonoBehaviour вызывается каждый раз перед отрисовкой кадра и используется для обновления графических элементов?,Update,OnRenderObject,FixedUpdate,Start,"Метод Update() в классе MonoBehaviour вызывается каждый раз перед отрисовкой кадра. Он используется для обновления графических элементов и других компонентов игровых объектов. В Update() можно выполнять логику обновления, перемещения, анимации и других действий, которые должны происходить на каждом кадре игры.",47
Когда стоит использовать StringBuilder вместо string?,"StringBuilder используют, когда нужно часто конкатенировать или модифицировать строки.","Это одно и то же, string - сокращенная записть от StringBuilder.","StringBuilder следует использовать, когда вам нужно выполнить операции форматирования строки.","StringBuilder применяется только в случае, если вы хотите работать с небольшими строками.","String является неизменяемым типом данных, что означает, что после создания строки ее нельзя изменить. Все операции над строками, такие как конкатенация или замена символов, фактически создают новые строки в памяти. 
В то время как StringBuilder является изменяемым типом данных, который позволяет изменять содержимое строки без создания новых объектов. Внутреннее представление StringBuilder в C# базируется на массиве символов (char[]). ",47
Что такое наследование (2 принцип ООП)?,"Возможность создания новых классов на основе существующих, наследуя их свойства и методы.",Возможность создания объектов из абстрактных классов.,Возможность класса включать в себя все свойства и методы другого класса.,"Это принцип, который позволяет классам наследовать только статические методы.","Наследование (Inheritance) - позволяет создавать новые классы на основе существующих (родительских) классов, наследуя их свойства и методы.
Принцип наследования позволяет повторно использовать код, который уже был реализован в базовом классе, что способствует уменьшению дублирования кода и улучшает структурированность программы. При этом производный класс может добавлять свою уникальную функциональность или переопределять поведение методов базового класса.",48
С помощью какой арифметической операции можно комбинировать кватернионы?,Умножение,Деление,Сложение,Вычитание,"Для комбинирования кватернионов в Unity используется операция умножения (*).

Например, если у нас есть два кватерниона quat1 и quat2, мы можем комбинировать их следующим образом:
Quaternion combinedQuaternion = quat1 * quat2;",49
Чем принципиально отличается фреймворк от библиотеки?,Фреймворк предоставляет архитектуру и правила разработки. Библиотека - набор утилит и функций для решения конкретных задач.,Фреймворк  предоставляет низкоуровневую функциональность. Библитека - высокоуровневую.,Фреймворк это набор утилит и инструментов. Библиотека - набор функций.,Фреймворк - это набор шаблонов проектирования. Библиотека - это набор различной документации проекта. ,"Библиотека - это набор предварительно написанного кода, который используется для упрощения задач. Библиотеки заточены на узкие цели. Напримет Zenject, Newtonsoft.Json, Unity UI. 

Фреймворк - это полный набор низкоуровневых библиотек, который позволяет пользователю создавать приложения. Он управляет всеми вызовами библиотеки и, отвечает за поток функций. Фреймворк подобен фундаменту, на котором разработчики создают приложения для определённых платформ. Пример фреймворков: Cinemachine, ProBuilder, Unity Input System. Сама Unity является фреймворком.

Мы в коде используем библиотеку, фреймворк использует наш код. 
",49
