Text,Answers0,Answers1,Answers2,Answers3,Explanation,Difficulty
What is the difference between method overloading and method overriding?,"Method overloading is changing the method's signature, while method overriding is changing its implementation.","Method overloading is the process of changing the implementation of a method, while method overriding is changing its signature.","Overloading is used in static polymorphism, while method overriding is used only in dynamic polymorphism.","Method overloading is used to change the visibility of a method, while method overriding is used to change accessibility.",Method overloading refers to creating multiple methods with the same name but different parameters. Method overriding occurs when a derived class changes the implementation of a method inherited from a base class.,45
What is abstraction (4th principle of OOP)?,"Abstraction is representing objects in a simplified form, separating important characteristics from unnecessary details.",This is the ability to use abstract classes for creating objects.,This is the ability to use abstract fields and methods in a class.,This is an object-oriented programming principle that requires all classes in the program to be abstract.,"Abstraction is an object-oriented programming principle that involves representing objects in a simplified form, hiding implementation details, and highlighting only essential characteristics and functionality.

The main goal of abstraction is to provide a clear and convenient interface for interacting with objects, hiding complex details, and making the code more understandable and readable. Abstraction allows us to abstract from internal implementation details and focus on the important aspects of an object.",46
Which method in MonoBehaviour is called every frame before rendering and is used for updating graphical elements?,Update,OnRenderObject,FixedUpdate,Start,"The Update() method in the MonoBehaviour class is called each time before rendering a frame. It is used to update graphical elements and other components of game objects. In Update(), you can perform logic updates, movement, animation, and other actions that need to occur on every frame of the game.",47
When should you use StringBuilder instead of string?,StringBuilder is used when you need to frequently concatenate or modify strings.,"This is the same thing, string is a shorthand notation for StringBuilder.",StringBuilder should be used when you need to perform string formatting operations.,StringBuilder is used only when you want to work with small strings.,"String is an immutable data type, which means that once a string is created, it cannot be changed. All operations on strings, such as concatenation or replacing characters, actually create new strings in memory.

On the other hand, StringBuilder is a mutable data type that allows you to modify the content of a string without creating new objects. The internal representation of StringBuilder in C# is based on an array of characters (char[]).",47
What is inheritance (2nd principle of OOP)?,"The ability to create new classes based on existing ones, inheriting their properties and methods.",The ability to create objects from abstract classes.,The ability of a class to include all properties and methods of another class.,This is a principle that allows classes to inherit only static methods.,"Inheritance allows creating new classes based on existing (parent) classes, inheriting their properties and methods.

The principle of inheritance enables code reuse that has already been implemented in the base class, reducing code duplication, and improving program structure. The derived class can also add its unique functionality or override the behavior of methods in the base class.",48
By which arithmetic operation can quaternions be combined?,Multiplication.,Division.,Addition,Subtraction,"To combine quaternions in Unity, the multiplication (*) operation is used.

For example, if we have two quaternions quat1 and quat2, we can combine them as follows:
Quaternion combinedQuaternion = quat1 * quat2;",49
What is the fundamental difference between a framework and a library?,Framework provides architecture and development rules. Library is a set of utilities and functions to solve specific tasks.,Framework provides low-level functionality. Library - high-level functionality.,A framework is a set of utilities and tools. A library is a set of functions.,Framework is a collection of design patterns. Library is a collection of various project documentation.,"Library - is a collection of pre-written code used to simplify tasks. Libraries are designed for specific purposes. For example, Zenject, Newtonsoft.Json, Unity UI.

Framework - is a comprehensive set of low-level libraries that enables the user to build applications. It manages all library calls and provides a flow of functions. A framework is like a foundation on which developers build applications for specific platforms. Examples of frameworks include Cinemachine, ProBuilder, Unity Input System. Unity itself is a framework.

We use a library in our code, while a framework uses our code.",49
Implicit type conversion is:,int i = 10; double d = i;,double d = 10.5; int i = (int)d;,"string str = ""10""; int i = int.Parse(str);",double d = 10.5; int i = Convert.ToInt32(d);,"Implicit type casting in C# - is an automatic conversion operation of a value from one type to another without the developer's explicit specification. In the case of implicit type casting, the compiler performs the conversion on its own if it is safe and does not result in data loss or value distortion.",50
Are variables with the private modifier inherited when a class is inherited?,No.,"Yes, they are accessible in the derived class.",They can be inherited only if the derived class is declared in the same file as the base class.,Possible only when using the special keyword 'inherit'.,"The private modifier makes variables accessible only within the class where they are declared and does not allow access to them from other classes, including derived classes.

When a class inherits from another class, it can only access the public and protected members of the base class. Private variables, methods, or other class members remain inaccessible to the inheriting class.",51
What is ECS?,"Component-based Software Development paradigm, which separates entities, components, and systems.",This is a group of initials of well-known personalities working in the gaming industry.,This is a programming language designed for working with quantum computers.,"This is an abbreviation for 'Eternal Creative System,' a philosophy about a creative approach to work.","ECS (Entity-Component-System) is a software development paradigm widely used in the development of computer games. ECS is an architectural approach that helps separate the logic and data of components, improving performance and simplifying the development of complex systems.

Key components of ECS:

Entity: Represents a game object or object in the system.

Component: Components are containers for data representing specific aspects of an entity.

System: Systems process entity components and implement game logic or behavior.",52
What does the Destroy function do?,Destroys the specified game object after the current update cycle.,Deletes the specified game object when the application terminates.,Immediately removes the specified game object.,Immediately deactivates the specified game object.,"The Destroy function in Unity is used to destroy objects during gameplay.

When the Destroy method is called, it marks the object for destruction. However, the actual destruction of the object does not happen immediately; it occurs at the end of the current frame or on the next frame. This means that the object will continue to exist and execute its methods until the current frame is finished, and only after that, it will be removed from the scene and memory.

Destroy(objectToDestroy);",52
What is a constant variable?,A constant variable with the keyword 'readonly'.,"Variable with the keyword ""final"".",A variable that can only be declared with a specific data type.,A variable that can be declared without initialization.,"Final variable (final variable) is a variable whose value cannot be changed after it has been initialized. In other programming languages, such a variable may be called a ""constant"" or ""immutable variable"".

In the C# language, the keyword for creating final variables is readonly. After declaring and initializing a final variable in the constructor or at the declaration, its value cannot be changed thereafter. This ensures the security and reliability of the program, as it guarantees that the value of the variable will remain unchanged after initialization.",53
What is Unity Collab and what is it used for?,It is a collaborative development and version control tool.,This is a component for handling collisions and object collisions in the scene.,This is a framework for creating multiplayer games.,This is a social network for Unity3D developers.,"Unity Collab (formerly known as Unity Teams) is a collaborative development and version control tool provided by Unity Technologies. It is used to facilitate collaborative work on projects in Unity3D, streamline change and version management, and ensure a more secure and stable development process.

Key features include:

Version control
Collaborative development
Access control
Cloud storage.",54
How can you load a new level in Unity3D?,With the LoadScene method.,"By changing the value of the variable ""level"" in the code.",Copying the file with the level to the Assets folder.,By clicking the 'New Level' button on the toolbar.,"The method SceneManager.LoadScene() allows you to load a new level from the scene. You can pass it the name or index of the level to be loaded.
// Load the level with the name ""Level2""
SceneManager.LoadScene(""Level2"");",54
Which MonoBehaviour method is executed by default in Editor mode?,Reset,OnBecameInvisible,OnAnimatorMove,OnTriggerEnter,"The Reset method is a MonoBehaviour method that runs by default in the editor mode. This method is called when the script is attached to a GameObject or reset in the Inspector. It allows you to initialize or reset variable values in the script, providing a consistent initial state when working in the Unity editor.",55
What is the difference between a class and a structure?,"Classes support inheritance, structures do not. Class objects are passed by reference, structures are passed by value.","Classes can contain methods, while structures can only contain fields.","Classes need to be initialized using the ""new"" keyword, structures do not.","Classes inherit other classes, while structures only other structures.","Classes support inheritance. Structures do not support inheritance. Objects of a class are passed by reference, and changes made to one object may affect other objects that reference the same instance. Structures are passed by value, and each instance of a structure contains its own copy of data.

Objects of a class are stored in the heap. Structures are stored in the stack or the heap.

Class fields can have a value of ""null"" if they are not initialized. Structure fields must always have a value.

In general, working with structures can be more performance-efficient.",56
When is the Reset method automatically called?,When adding a component to an object or resetting its values in editing mode.,When a game object moves from one scene to another.,When the scene starts or restarts.,When the scene starts or restarts for a deactivated game object.,"The Reset() method is automatically called in Unity for components when they are added to an object or reset to their default values. This happens in the following cases:

When adding the component to an object in the scene or in a prefab.
When resetting the component to its default values, which can be done through the component's context menu or the ""Reset"" button in the component's inspector.",56
Explicit type casting is:,double d = 10.5; int i = (int)d;,int i = 10; double d = i;,"string str = ""10""; int i = int.Parse(str);",double d = 10.5; int i = Convert.ToInt32(d);,"Explicit type casting in C# is an operation that allows explicitly changing the type of a value from one type to another. With explicit type casting, the developer explicitly indicates that they want to convert a value from one type to another, even if such conversion may potentially result in data loss or value distortion.

Explicit type casting is performed using the casting operator (type)expression, where type is the target type to which the value needs to be cast, and expression is the expression that needs to be cast to the specified type.",57
"The ""Open/Closed Principle"" (2nd SOLID principle) states:",Classes and modules should be open for extension but closed for modification.,Changing a method in a class should not affect other methods in the same class.,Classes should be open for extension and closed for modification to ensure code is easily modifiable.,"All methods in the class must be open for overriding in subclasses, and fields must be private.","The Open/Closed Principle from SOLID states the following:
""Software entities (classes, modules, functions, etc.) should be open for extension, but closed for modification.""
This means that code should be written in a way that adding new functionality does not require modifying existing code. New features should be added through extension, using inheritance, interfaces, composition, and other techniques, without altering the functionality of existing components.",58
What is Polymorphism (3rd OOP principle)?,The ability of objects of one class to be used as objects of another class through a common interface.,This is the ability to create objects of different classes from one abstract class.,The ability of objects to interact only with objects of their own type.,The ability to use the same object for different purposes in the program.,"At the core of polymorphism is the idea that objects with a common interface (e.g., shared methods) can be used according to that interface, regardless of their actual type. This allows passing objects of derived classes where an object of the base class is expected, and invoking methods of the descendants without knowing their specific type.",58
In which format does the Microphone class save audio data?,Audio clip asset,MP3 file,WAV file,OGG file,"The ""Microphone"" class is used to access the microphone of a computer or mobile device and record audio from it. It allows developers to create applications that can interact with the microphone, record sound, and analyze or play audio data in real-time. This can be useful for creating voice controls, audio games, or audio analysis in applications and games.",59
Some types of materials include normal maps. What is the purpose of a normal map?,"It creates surface details on the mesh: bumps, dents, and scratches.",This is a level of detail (LOD) system that gradually reduces the number of polygons as the camera moves away.,It replaces geometry to create high-polygon objects.,It programmatically reduces the number of polygons in meshes.,"""Normal Map"" in computer graphics is used to give flat or low-polygon models a visual impression of detail and volume. It is one of the important types of texture maps used in 3D model rendering.

In game development and visualization, a normal map allows tricking the viewer's eye by creating the effect of a highly detailed surface without actually adding new polygons. Instead, it uses special color data that encodes information about the surface normals for each pixel.",60
What is Zenject?,It is a framework for dependency injection.,This is a data compression algorithm used to reduce the size of files in Unity.,It is a tool for creating complex mathematical calculations and algorithms in Unity.,This is a library for working with sounds and audio effects in Unity.,Zenject is a framework for managing dependencies and Dependency Injection (DI) in Unity. It provides convenient tools for organizing project structure and managing dependencies between components.,60
Which of the following methods are used for creating or destroying objects in Unity?,Instantiate() and Destroy(),Start() and FixedUpdate(),Update() and LateUpdate(),OnEnable() and OnDisable(),"Instantiate(): The method takes a prefab as a parameter - a template of the object to be created, and additional parameters such as position and rotation, and creates a new instance of the object.

Destroy(): This method is used to remove a game object from the scene during gameplay. It takes the reference to the object to be removed as a parameter and destroys it, freeing up the memory and resources it occupied.",61
"Where are members with the ""internal"" modifier accessible?",Within the same project (assembly).,"From anywhere in the program, including other classes and namespaces.",Inside the same class and its derived classes (inheritors).,Only inside the same class where they are declared.,"internal - is an access level that restricts access to class members only within the same assembly in which they are declared. An assembly is a unit of compilation, which can represent a single library, executable file, or module. If a class member is declared with the internal modifier, it can be used in any other class within the same assembly but will be inaccessible to classes outside of that assembly.",62
Who needs the Collaborate function in Unity Teams?,"To team members for saving, sharing, and synchronizing Unity projects.",For developers who make changes to the Unity source code.,Companies that raise funds for projects through crowdfunding.,Developers use it as a version control system.,"The Collaborate function in Unity Teams is used by developer teams to save, collaborate, and synchronize Unity projects. It facilitates more efficient teamwork on projects, file sharing, version control, and collaborative project editing.",62
What is the purpose of the PlayableDirector component?,Control the playback of the timeline in the scene.,Record the gameplay session as a video file.,Switching between different cameras in the scene.,Simultaneously run multiple functions on different game objects.,"The PlayableDirector component in Unity is used to control time and playback of Timelines. Timelines are a visual animation system that allows you to create complex and interactive event animations in a game or application.

PlayableDirector allows you to play, stop, pause, and switch Timelines during the runtime of an application. This is useful for creating scenarios and cinematic moments, as you can control events and object animations on the scene through timelines and scripts.",63
What are heap and stack?,"Stack is a memory area used for storing local variables, while heap is a region of dynamic memory used for storing objects.","Stack is a place where objects and data are stored, while heap is a memory area used for performing arithmetic operations.","The stack is an area of memory where runtime program data is stored, and the heap is the place where instructions and code of the program are stored.","The stack is an area of memory where data structures are stored, while the heap is a place where functions and methods of the program are stored.","""Heap and stack"" are the two main memory areas used in programming, including C#.

Stack: The stack is a memory area where local variables of methods, method parameters, and function call context are stored. The stack is managed automatically and used to store data in a ""last in, first out"" order.

Heap: The heap is a dynamic memory area where objects and data created and managed during program execution are stored. Unlike the stack, the size of the heap is not fixed and can change during runtime.",64
"What is the ""Liskov Substitution Principle"" (LSP) (3rd principle of SOLID)?",Objects of the base classes should be replaceable with objects of derived classes.,A derived class should be the descendant of only one base class.,All methods of the base class have been overridden in the derived classes.,Classes cannot be changed after their creation to ensure their stability.,"The Liskov Substitution Principle (LSP):
""Objects of a base class should be replaceable with objects of its derived classes, and this should not affect the correctness of the program.""

Suppose we have a class called Bird with a method Fly(), and we have two derived classes from it, Penguin and Sparrow. According to the LSP, we should be confident that calling the Fly() method on Bird objects will not result in errors or unexpected behavior for instances of the Penguin and Sparrow classes. It might be reasonable to override the Fly() method for Penguin to do nothing (since penguins don't fly), but this should not break other parts of the program that expect objects of type Bird.",64
What is static polymorphism?,Polymorphism - a mechanism where the same method name can be used to perform different actions (overloading).,Mechanism that allows creating new methods during program execution.,It is used to perform different actions depending on the value of the variable.,The mechanism that provides dynamic binding of method calls.,"Static polymorphism (also known as method overloading or compile-time polymorphism) is a mechanism in programming where the same method or operator name can be used to perform different actions depending on the types of arguments passed to the method.

Static polymorphism is resolved at compile time, and the compiler determines which specific method or operator should be called based on the types of arguments used in the function call. This allows for overloading methods or operators with different types of parameters and handling them accordingly.",65
What is batching in Unity?,This is a mechanism that allows combining multiple objects or graphical elements into a single draw call.,This is the process of objects interacting with different materials to create new effects in the game.,This is a technique used for managing data packets in Unity.,This is a method of optimizing textures and level of detail to improve graphics in Unity.,"Batching in Unity is the process of combining multiple graphics elements into one to reduce the number of draw calls and improve the game's performance.
Batching helps optimize game performance, especially when dealing with a large number of objects in the scene. However, not all objects can be batched, and the optimization requires adherence to specific limitations and rules.",66
What statement best describes the Quaternion.Euler function?,Converts the orientation measured in degrees to a quaternion.,"Converts a quaternion into a string that stores its rotation along the X, Y, and Z axes in degrees.",Converts orientation from radians to quaternion.,He converts a quaternion to Vector3.,"The method Quaternion.Euler(x, y, z) in Unity is used to create a quaternion representing a rotation around the X, Y, and Z axes.

It takes three values in degrees: x, y, and z, and returns a quaternion representing the corresponding rotation. This method is convenient for creating quaternions when rotation angles are specified in a developer-friendly format in degrees.",66
"What is meant by ""dependency management""?","This is the process of establishing, injecting, and managing dependencies between components of a program.",This is the ability to access parent components and use their resources.,This is the process of assessing the interactions between different elements of the program and determining their significance.,This is the ability of the program to automatically create dependencies between components without programmer intervention.,"Dependencies are relationships between different components, modules, or objects of a program, where one element (referred to as the client or consumer) requires access to another element (referred to as the service or provider) to perform its tasks.

Dependency management is the process of establishing, passing, and controlling dependencies between components of a program. One way to manage dependencies is through the use of Dependency Injection (DI) patterns, which allow for creating weak connections between components and provide a more flexible program structure.",67
How to get the nearest power of two greater than the number in C#?,"double result = Math.Pow(2, Math.Ceiling(Math.Log(number, 2)));","double result = Math.Log(number, 2);","double result = Math.Ceiling(Math.Pow(2, Math.Log(number, 2)));",double result = Math.Log(Math.Pow(Math.Ceiling(number)));,"Math.Pow(base, exponent) - a function that raises the base to the specified exponent.
Math.Ceiling(value) - a function that rounds the value up to the nearest integer.
Math.Log(number, base) - a function that calculates the natural logarithm of a number with the specified base.
In other words, first, we calculate the logarithm of the number with base 2, round it up, and then raise 2 to the resulting power. This is useful for computing memory buffers and working with texture sizes.",68
What is the asymptotic complexity of an algorithm?,Asymptotic complexity is an estimation of the behavior of an algorithm as the size of the input data increases.,"Asymptotic complexity is the number of operations performed in an algorithm, regardless of the size of the input data.",Asymptotic complexity is the exact number of steps required to execute an algorithm.,Asymptotic complexity of an algorithm is the amount of memory in bytes that the algorithm occupies during execution.,"Asymptotic complexity allows us to estimate how quickly the execution time or the amount of resources, such as memory or CPU time, consumed by an algorithm grows as the size of the input data increases.

Asymptotic complexity is usually expressed using """"Big O"""" notation. The Big O notation specifies the upper bound of the algorithm's growth rate relative to the size of the input data. For example, if the complexity of an algorithm is estimated as O(n^2), where n is the size of the input data, it means that the execution time of the algorithm will grow proportionally to the square of the size of the input data.",68
"What is the ""Interface Segregation Principle"" (4th principle of SOLID) about?",Many small specialized interfaces are better than one general interface.,The interface should contain as many methods as possible to simplify the code.,Each interface should be implemented by a single class to avoid code duplication.,All classes must implement a common interface with mandatory methods.,"Interface Segregation Principle:
""Many small, specialized interfaces are better than one general interface.""
The essence of this principle is to split large and complex interfaces into many small and specialized ones so that clients can implement only those methods that are truly needed, rather than being forced to implement unnecessary methods.",69
How is an abstract class different from an interface?,"An abstract class can provide implementation of methods and properties, while an interface only defines signatures.","An abstract class can be used to create object instances, while an interface cannot.","An abstract class can implement multiple interfaces, while an interface can inherit only one abstract class.",An abstract class and an interface provide the same functionality and can be used interchangeably.,"An abstract class can provide implementations for methods and properties, whereas an interface only defines the signatures of methods and properties without providing their implementations.
A class can inherit only one abstract class but can implement multiple interfaces.
An abstract class can provide common functionality for its derived classes and define a base structure and behavior. Interfaces, on the other hand, define only contracts that a class must implement without providing a common implementation.
An abstract class can be extended by adding new methods, properties, and fields, whereas an interface is typically not subject to changes to avoid breaking existing contracts.",70
What does MonoBehaviour inherit from?,from the Behaviour class,From the Class class,from the Object class,from the Component class,"MonoBehaviour inherits from the Behaviour class. The Behaviour class, in turn, inherits from the Component class. Component is the base class for all components in Unity.",70
What is operator overloading?,This is the ability to define new behavior for operators on custom data types.,This is the ability to change the order of operations during program execution.,This is the ability to create new operators not related to the existing ones.,This is a construction with the 'overload' keyword that allows executing an operator multiple times in a row.,"Operator overloading is a mechanism that allows defining custom behavior for operators when working with objects of user-defined classes. It enables using standard operators such as +, -, *, /, ==, !=, and others with objects of user-defined classes, and also allows defining custom logic for their operation.

// Operator overloading for addition
public static Point operator +(Point p1, Point p2)
{
return new Point(p1.X + p2.X, p1.Y + p2.Y);
}",71
What is stack overflow?,This is a situation when the stack memory is filled beyond its maximum capacity.,This is an error that occurs when trying to assign a value to a variable that is outside the range of that variable.,This is a situation when the program doesn't have enough RAM (Random Access Memory) to execute tasks.,This is an error that occurs when trying to access non-existent memory or object in the program.,"Stack overflow is a situation when the stack memory, which is used to store local variables, method parameters, and function call context, becomes filled beyond its maximum capacity.

Stack overflow typically occurs when a recursive function calls itself indefinitely, or when nested functions are called too deeply and are not freed from the stack in time.

When a stack overflow happens, it usually results in a ""StackOverflowException"" exception, which leads to the program either stopping its execution or crashing.",72
What is Animation Rigging in Unity?,This is a system for creating and managing complex animations using controlled bones and controls.,This is a method for controlling the position of objects in the scene using kinematic equations.,This is a technology for creating and managing light in the scene.,This is a system for optimizing and managing resources in the project.,"Animation Rigging in Unity is a set of tools and a system that allows you to create complex character and object animations using programmable controllers and manipulate bones and meshes to achieve more realistic and unique movements. This enables animators and developers to create more dynamic and engaging animations, as well as simplifies the process of animating complex objects and characters.",72
What is a stack overflow?,"Storing different data types in an array is possible, but in the form of objects.",Storing different data types in an array leads to loss of precision and errors when accessing elements.,System.Array automatically converts all elements into a unified data type.,"No, an array can only store homogeneous elements of one data type.","System.Array is the base class for all arrays in C# and allows storing elements of different types in a single array.

Array myArray = new object[5];
myArray[0] = ""Hello"";
myArray[1] = 10;
myArray[2] = true;
myArray[3] = 3.14;
myArray[4] = DateTime.Now;

However, when working with System.Array, it's important to note that elements are stored as objects, and explicit type casting may be required when accessing them back to their original type for using specific functions or properties.",73
"What is the ""Dependency Inversion Principle"" (5th principle of SOLID)?",High-level modules should not depend on low-level modules. Both types of modules should depend on abstractions.,High-level modules should depend on low-level modules. Abstractions should depend on details.,"Classes should depend only on specific implementations, not abstractions.",Classes should be written so that they cannot change their behavior during runtime.,"Dependency Inversion Principle:
High-level modules should not depend on low-level modules. Both types of modules should depend on abstractions.
Abstractions should not depend on details. Details should depend on abstractions.
Suppose we have a class called OrderProcessor that depends on the DatabaseConnection class to access the database. If we want to use a different data source, we would have to modify the OrderProcessor class. Instead, we can introduce an abstraction, for example, an interface called IDatabaseConnection, and make the OrderProcessor depend only on this interface. Now, we can easily replace DatabaseConnection with a different implementation without affecting the OrderProcessor.",74
What is the typical use of the OnAnimatorMove event in MonoBehaviour objects?,For intercepting and handling updates to the position and rotation of an animated object.,For playing the animation after it's finished.,For synchronizing an object's animation with the current time.,For detecting any movement of the object.,"The ""OnAnimatorMove"" event in MonoBehaviour objects is commonly used to intercept and process updates to the position and rotation of the object that were applied by the animator in the frame. This allows the programmer to influence the movement of the object, taking animations into account, and add additional logic related to movement and animation in the object's scripts.",74
Which fragment of C# code constantly updates the Y-axis?,"transform.Rotate(Vector3.right, RotSpeed * Time.deltaTime);","transform.localRotation *= Quaternion.Euler(0f, RotSpeed * Time.deltaTime, 0f);","transform.RotateAround(Vector3.up, RotSpeed * Time.deltaTime);",transform.SetParent(null);,"The ""transform.Rotate"" method in Unity is used to rotate a game object in three-dimensional space. It allows you to change the orientation of the object relative to its current position.",75
"How is ""yield"" used in iterators?",yield is used to define values that should be returned at each iteration.,yield is used to declare variables in iterators.,yield is used to create iterators and generators in C#.,yield is used to define the start of execution for each iteration.,"In iterators, ""yield"" is used to define values that should be returned on each iteration. When the execution reaches the ""yield return"" statement, the value is returned from the iterator, and the execution is paused.

For example:

public static IEnumerable<int> GetNumbers()
{
    yield return 1;
    yield return 2;
    yield return 3;
    yield return 4;
    yield return 5;
}",76
What is an Assets Bundle?,"A ""bundle"" is a package containing one or multiple resource files.",Special folder containing scripts and resources.,"Deprecated and unused resource management method in Unity, replaced by other approaches.",The file format for storing compiled scripts in Unity.,"""Assets Bundle"" in Unity refers to a special file that contains one or multiple resources (such as textures, models, audio, video, and others) packed into a single unit. These bundles can be created and loaded dynamically in the game, allowing for more efficient resource management.

Assets Bundles provide developers with a more flexible and efficient way to handle resources in Unity, which is particularly important for mobile platforms and games with a large amount of content.",76
What is Shader Graph in Unity?,This is a visual graphical tool that allows creating shaders without the need to write code.,This is a plugin for Unity that allows exporting graphical effects.,This is a component in Unity that allows creating dynamic visual effects for objects in the scene.,This is the system in Unity responsible for managing the physical simulation of objects.,Shader Graph in Unity is a visual graphical tool that allows you to create shaders (materials) for objects in the scene without the need to write code. It provides an interface for creating complex shaders by connecting ready-made blocks representing various shader functions and operations.,77
"The bullet GameObject moves quickly through the scene using the RigidBody component. Sometimes, it passes through solid objects even when they have colliders. How to fix this?",Change the Collision Detection property of the Rigidbody to Continuous Dynamic or Continuous Speculative.,Enable the IsKinematic property of Rigidbody.,Increase the value of Fixed Time Step in the Project Settings dialog to change the frequency of the FixedUpdate event.,We need to increase the size of the colliders to more effectively detect collisions.,"In Collision Detection, which is responsible for detecting collisions, there are several parameters:

Discrete: Default value. Collisions are processed based on calculations for each frame. This is suitable for most objects.

Continuous: Continuous collision processing is used. This prevents objects from penetrating each other at high speeds. However, this mode is more performance-intensive.

Continuous Dynamic: This mode combines the advantages of discrete and continuous collision processing.

Continuous Speculative: An extension of the Continuous mode, which makes assumptions about the future position of the object based on its velocity.",78
What is Lerp in Unity?,Lerp is a method that allows smooth interpolation between two values.,"Lerp is an abbreviation for ""Linear Interpolation,"" a special technology for improving light rendering.","Lerp is a type of material applied to objects to change their physical properties, such as elasticity or friction.",Lerp is a special type of game characters that move along a specified trajectory on the screen.,"In Unity, Lerp (Linear Interpolation) is a function provided within the Unity framework to perform linear interpolation between two values along a time axis. The Lerp function in Unity can be used for smooth movement of objects, changing their size, modifying color or transparency, and creating animation between two values.

In Unity, the Lerp function uses the following syntax:
Vector3.Lerp(start, end, t);

start and end are the initial and final values between which interpolation is performed.
t is the weight factor (time) ranging from 0 to 1.",78
What is a Nullable type in C#?,A special data type that allows a variable to hold a value of null.,"Allows a variable to have only the value ""null"" and nothing else.",Represents a special type of data that can change its type during program execution.,Allows a variable to have multiple values simultaneously.,"Nullable type in C# represents the possibility for a variable to have an additional value of ""null"" in addition to its main data type. Regular data types in C#, such as int, bool, double, and others, cannot hold a value of ""null."" However, if we want a variable to be able to accept a ""null"" value, we can use the Nullable type. The Nullable type is created by adding the ""?"" symbol after the main data type. For example, int? represents a Nullable type for an integer value.

int? nullableInt = null;
bool? nullableBool = true;
double? nullableDouble = 3.14;",79
What is dynamic polymorphism?,This is a mechanism that allows different objects to use methods with the same name (method overriding).,Mechanism where the same method name can be used to perform different actions (overloading).,This is a mechanism that allows using different objects without specifying their specific type.,This is a mechanism that dynamically determines whether polymorphism is needed or not.,"Dynamic polymorphism is a mechanism that allows objects of different classes to respond to method calls with the same name but different implementations at runtime.

Dynamic polymorphism is achieved through inheritance and virtual methods. When a method is declared with the virtual keyword in the base class and overridden in a derived class using the override keyword, the method from the derived class is called at runtime, not the one from the base class, based on the type of the object on which the method is called.",80
What are Scriptable Objects in Unity3D and what are they used for?,This is a type of object that allows creating and storing data.,These are components for working with physical effects.,This is a system for creating character animations.,These are components for working with UI elements.,"Scriptable Objects in Unity3D are a special type of objects that allow creating and storing data that can be used in the project. They are classes that can contain variables and methods but do not require the presence of a GameObject in the scene.

Applications:

Storing and configuring data about characters, weapons, items, levels, and other game objects.
Managing the state and behavior of AI.
Creating systems for level generation or random events.
Saving user interface settings and animation control.",80
How can you optimize the performance of UI elements in Unity?,"Group static UI elements on one canvas, and dynamic elements on another.",Place all objects on the canvas at the origin of coordinates.,Group all UI elements on a single canvas.,Split the screen into 4 parts and create a separate canvas in each one.,"The separation into static and dynamic elements allows using different optimization approaches for each type. Static elements are processed during development, which reduces the load on the processor during gameplay. At the same time, dynamic elements are updated in real-time, providing flexibility and interactivity in the game.",81
What is Unity DOTS?,This is a stack of technologies for developing high-performance games using data-oriented principles.,"This is an extension for creating 3D points in the game, which can be used for creating effects and special visual elements.",This is a plugin for managing objects in the scene and their animations.,This is a version control and collaborative development system for games on the Unity platform.,"Unity DOTS (Data-Oriented Technology Stack) is a set of technologies and approaches provided by Unity to optimize performance and manage data in games. The main idea of DOTS is data-orientedness, which allows efficient utilization of multi-threading.

DOTS includes:

ECS (Entity Component System), Burst Compiler, Jobs System.

DOTS enables developers to create more performant and scalable games, especially on platforms with multi-threaded processors.",82
How are Coroutines different from asynchronous methods?,The coroutine is executed in the main thread. Asynchronous methods can be executed in both the main and background threads.,"Coroutines use the ""await"" keyword, while asynchronous methods use the ""yield"" keyword.",Coroutines are more efficient and faster compared to asynchronous methods.,Coroutine runs in background threads. Asynchronous methods run in the main thread.,"Coroutines in Unity run in the main thread. They use the yield mechanism to suspend and resume execution, allowing the creation of asynchronous tasks without blocking the main thread and thus avoiding frame rate slowdowns in the game.

Asynchronous methods in Unity that use the async keyword can be executed both in the main thread and in background threads, depending on the specific code being executed asynchronously.",82
Which Unity tool allows you to create and edit animations using a timeline format?,Timeline Window,Animation Window,Animator Controller,Inspector,"The Timeline Window in Unity is a tool for creating and editing complex timelines that allow you to control animations, events, sounds, and other elements in the game. It enables the creation of cinematic scenes and event sequences, as well as the management of temporal parameters of objects in the game world. The Timeline Window is often used for creating cinematic sequences, cutscenes, camera animations, and complex animation sequences.",83
"The developer executes the following C# code, which searches for all game objects with the tag ""Enemy"". However, when executing FindGameObjectsWithTag, it returns NULL despite the existence of objects with the tag ""Enemy"" in the scene. What could be the possible reason?  

GameObject[] MyEnemies = GameObject.FindGameObjectsWithTag(""Enemy"");",Objects are not active.,"Objects should contain ""Enemy"" in the name.",Objects are on the UI layer.,Objects are animated.,"The FindGameObjectsWithTag method in Unity does not find inactive objects by default due to performance optimization. By default, the search is limited to active objects in the scene to reduce the load on the CPU and memory.

If a developer wants to find inactive objects with a specific tag, they can use additional logic. For example, they can create separate lists for active and inactive objects with the given tag and then combine them into one list for further processing.",84
